data mean_power time forward_num energy silence_energy all_energy
1,32,56,56,1,64,56,56,32,64,1,1,1,1,0,0,1,1,1 3.92191629956 4.003 3121 0.00280834451472 0.00217590818327 0.004984252697991396
1,64,56,56,1,128,56,56,64,128,1,1,1,1,0,0,1,1,1 3.87287179487 4.008 1610 0.00515623399004 0.00421738688199 0.00937362087202368
1,32,56,56,1,32,56,56,32,32,3,3,1,1,1,1,1,1,32 2.55189051095 3.994 1715 0.00186507588206 0.0039618151137 0.0058268909957596565
1,64,56,56,1,64,56,56,64,64,3,3,1,1,1,1,1,1,64 2.14353968254 4.016 726 0.00277344170064 0.00900850754821 0.011781949248852484
1,128,56,56,1,128,56,56,128,128,3,3,1,1,1,1,1,1,128 2.352 4.02 625 0.00394065464359 0.01102438368 0.014965038323593144
1,32,56,56,1,16,56,56,32,16,1,1,1,1,0,0,1,1,1 3.35448728814 4.013 3736 0.00175350774742 0.00181669884904 0.0035702065964582394
1,32,56,56,1,8,56,56,32,8,1,1,1,1,0,0,1,1,1 3.41223651452 4.005 4288 0.00159020621135 0.00156056767724 0.003150773888592846
1,64,56,56,1,16,56,56,64,16,1,1,1,1,0,0,1,1,1 3.42552054795 4.001 3169 0.00210941012414 0.00212929205112 0.0042387021752553385
1,64,56,56,1,8,56,56,64,8,1,1,1,1,0,0,1,1,1 3.39614222222 4.009 3440 0.00193081102726 0.00195569275581 0.003886503783076312
1,128,56,56,1,16,56,56,128,16,1,1,1,1,0,0,1,1,1 3.69728708134 4.001 3104 0.00250736183346 0.00217585310567 0.004683214939132178
1,128,56,56,1,8,56,56,128,8,1,1,1,1,0,0,1,1,1 3.63783105023 3.999 3054 0.00247741713665 0.00218579264244 0.004663209779089233
1,32,56,56,1,64,54,54,32,64,3,3,1,1,0,0,1,1,1 3.91392215569 3.995 1628 0.0051141910902 0.00414915595823 0.009263347048431413
1,32,56,56,1,64,27,27,32,64,3,3,2,2,0,0,1,1,1 3.64979908676 4.002 3111 0.00246207729528 0.00213711431051 0.004599191605795697
1,64,56,56,1,128,54,54,64,128,3,3,1,1,0,0,1,1,1 5.89468627451 4.012 1040 0.015762292435 0.00654762257692 0.022309915011891963
1,64,56,56,1,128,27,27,64,128,3,3,2,2,0,0,1,1,1 3.85998113208 4.008 1544 0.00538018300737 0.0043853853886 0.0097655683959704
1,64,28,28,1,128,28,28,64,128,1,1,1,1,0,0,1,1,1 3.56892173913 4.009 3206 0.00229202378814 0.00211764233313 0.0044096661212662935
